location_ID,plot_ID,x.m,y.m,burn_severity,S.mm_hr0.5,kfs.mm_hr,hf.m,c1.CI,c2.CI,c1.CL,c2.CL,r2.CL,c1.DL,c2.DL,r2.DL,a1,a2,c1,c2,S.cm_sec0.5,kfs.cm_sec,soil_texture_mdi,n,theta_i.cm3_cm3,theta_s.cm3_cm3,mdiradius.cm,alpha.percm,tension.cm,CI.fit,CL.fit,DL.fit
1_0_5,1,0,5,high,63.11903256646963,164.15940382015964,0.035172708323765095,0.09585585841826472,0.01871579151985047,0.09746326015092055,0.018644650166465257,0.9817800713568744,0.14450876798570056,0.015826957462025268,0.862710361965346,1.070446972390221,3.8879818939846293,0.11260929551829528,0.017729133049447,0.1051983876107827,0.004559983439448879,sandy loam,1.89,0.025,0.41,2.25,0.075,-1,good,good,good
1_2_8,1,2,8,high,72.50410827167282,309.7850716429805,0.02459323472140186,0.10998484919498697,0.03479594965777132,0.12378028821915038,0.03345242667159506,0.9825442562820882,0.15429387851218737,0.03212151946852023,0.8826159456387799,1.070446972390221,3.8879818939846293,0.12935300530877492,0.03345663193262887,0.12084018045278803,0.0086051408789716809,sandy loam,1.89,0.025,0.41,2.25,0.075,-1,good,good,good
1_8_8,1,8,8,high,111.88194584216373,310.35565427850037,0.05845360078033229,0.17200743242210514,0.035899293233925274,0.19115603105139253,0.03374151925830974,0.9433159423132702,0.23565498748585656,0.03091395121864521,0.8410198695351541,1.070446972390221,3.8879818939846293,0.19960615031978474,0.03351825457029341,0.18646990973693955,0.008620990396625009,sandy loam,1.89,0.025,0.41,2.25,0.075,-1,good,good,good
1_3_0,1,3,0,high,67.92897025281431,161.9215915368662,0.04130058541110641,0.10869185386654703,0.018146954984803784,0.1089135401466537,0.018183266686141505,0.9644477623081544,0.1459664087103516,0.01613212967409726,0.9443385121037117,1.070446972390221,3.8879818939846293,0.12119060090785078,0.017487450448347517,0.11321495042135718,0.004497821987135172,sandy loam,1.89,0.025,0.41,2.25,0.075,-1,good,good,good
1_5_0,1,5,0,high,60.50488841165612,285.74504169671184,0.018567487265080902,0.08265908983335457,0.032822470330454934,0.09610536193169145,0.03153859913949256,0.9825839248645533,0.14507192131028135,0.028219892897777404,0.9056786835987554,1.070446972390221,3.8879818939846293,0.10794545769177578,0.03086032078924163,0.10084148068609354,0.007937362269353107,sandy loam,1.89,0.025,0.41,2.25,0.075,-1,good,good,good
1_5_5,1,5,5,high,83.51612656210935,154.340011431186,0.06549574231312572,0.13291697952377393,0.017603703948763427,0.13723076110474441,0.017319783649485488,0.9490914603501724,0.17685018349232395,0.015082443231903749,0.8098426737198582,1.070446972390221,3.8879818939846293,0.14899930804028078,0.01666864361005089,0.13919354427018224,0.004287222539755167,sandy loam,1.89,0.025,0.41,2.25,0.075,-1,good,good,good
1_0_0,1,0,0,high,47.6467098401038,17.794907025311947,0.1848932341324239,0.08109140139549541,0.0020509846452921535,0.07959615974067896,0.002196272234292658,0.7572451343009935,0.09432882032729796,0.0015182661470445823,0.35186825641577923,1.070446972390221,3.8879818939846293,0.0850054604878241,0.0019218410088764648,0.07941118306683967,4.943029729253318e-4,sandy loam,1.89,0.025,0.41,2.25,0.075,-1,good,good,good
1_1_0,1,1,0,high,53.30392992352577,83.61382669562141,0.04924830274947428,0.09042061320102017,0.009214641556724473,0.09332558462608251,0.009003642367256287,0.9921686601619217,0.10154895418859068,0.008872469765964636,0.8666367212668498,1.070446972390221,3.8879818939846293,0.09509838400523112,0.009030251229981799,0.08883988320587628,0.002322606297100595,sandy loam,1.89,0.025,0.41,2.25,0.075,-1,good,good,good
1_1_1,1,1,1,high,102.70781737339324,49.35238433834694,0.30977742847766176,0.1776836683389666,0.005471788726112114,0.17900545330371223,0.005394594238350647,0.9363218898299341,0.1930272390981039,0.005123715096575864,0.5361412984663065,1.070446972390221,3.8879818939846293,0.18323878691359424,0.005330032687012875,0.17117969562232208,0.0013708995649540816,sandy loam,1.89,0.025,0.41,2.25,0.075,-1,good,good,good
1_0_1,1,0,1,high,108.51835222447639,94.54201278254561,0.18052296023193543,0.182807750283688,0.010823404733377728,0.18497651791286013,0.010687923800502926,0.9081365451372868,0.21303143974078365,0.009120140959402742,0.6950388668239944,1.070446972390221,3.8879818939846293,0.19360523597911058,0.010210489831094465,0.1808639203741273,0.0026261670217373784,sandy loam,1.89,0.025,0.41,2.25,0.075,-1,good,good,good
1_0_3,1,0,3,high,111.36296684531256,149.35570428284623,0.1203401865185042,0.18058949778692568,0.017314691612048464,0.1822583396173457,0.01727671754744205,0.9245990892914391,0.2331929160755155,0.013799613675095204,0.714790907249526,1.070446972390221,3.8879818939846293,0.19868025115992896,0.016130340944861907,0.18560494474218758,0.004148769563412395,sandy loam,1.89,0.025,0.41,2.25,0.075,-1,good,good,good
1_3_3,1,3,3,high,71.05011398459621,115.81044577182355,0.06317317928611228,0.10799646610906155,0.013801790649436495,0.11331268713976782,0.013380316447625506,0.9459761908626126,0.1589677437651262,0.010340302594199564,0.6898045210441621,1.070446972390221,3.8879818939846293,0.12675896567131853,0.012507469897087188,0.11841685664099369,0.0032169568269950987,sandy loam,1.89,0.025,0.41,2.25,0.075,-1,good,good,good
