location_ID,plot_ID,x.m,y.m,burn_severity,WD_0cm_1.sec,WD_0cm_2.sec,WD_0cm_3.sec,WD_1cm_1.sec,WD_1cm_2.sec,WD_1cm_3.sec,WD_2cm_1.sec,WD_2cm_2.sec,WD_2cm_3.sec,WD_3cm_1.sec,WD_3cm_2.sec,WD_3cm_3.sec,WD_4cm.hydrophobic,WD_5cm.hydrophobic,litter_depth.cm,theta_i.percent,LF1,LF2,LF3,ground_cover,overstory1,overstory2,notes,S.mm_hr0.5,kfs.mm_hr,hf.m,a1,a2,c1,c2,bulk_density.gcm3,soil_texture_class,sand.percent,silt.percent,clay.percent,total_organic_carbon.percent,total_nitrogen.percent,notes_soil
1_2_0,1,2,0,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,1,G,,,B,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_2_1,1,2,1,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0.5,0.9,F,,,R,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_2_2,1,2,2,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0.2,1,F,,,B,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_2_3,1,2,3,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,1.5,1.8,,,,L,no live,,loose litter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_2_4,1,2,4,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0.2,0.6,F,WD,,B,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_2_5,1,2,5,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.5,F,,,B,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_2_6,1,2,6,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,,,,B,no live,,too rocky for soil moisture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_2_7,1,2,7,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,1.5,0.8,F,L,,L,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_2_8,1,2,8,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.7,,,,R,no live,,NA,72.50410827167282,309.7850716429804,0.02459323472140186,1.0704469723902212,3.8879818939846293,0.1293530053087749,0.033456631932628864,NA,NA,NA,NA,NA,NA,NA,NA
1_2_9,1,2,9,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,1.1,L,,,B,no live,,loose litter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_2_10,1,2,10,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,1.7,SD,,,L,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_3_0,1,3,0,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,,,,B,no live,,too rocky for soil moisture,67.9289702528143,161.92159153686617,0.041300585411106414,1.0704469723902212,3.8879818939846293,0.1211906009078508,0.01748745044834752,NA,NA,NA,NA,NA,NA,NA,NA
1_3_1,1,3,1,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0.2,NA,F,,,R,no live,,too rocky for soil moisture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_3_2,1,3,2,high,12,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0.2,0.7,,,,B,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_3_3,1,3,3,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,3.5,1,F,,,L,no live,,NA,71.05011398459622,115.81044577182355,0.06317317928611231,1.0704469723902212,3.8879818939846293,0.12675896567131853,0.01250746989708719,NA,NA,NA,NA,NA,NA,NA,NA
1_3_4,1,3,4,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,3,1.2,L,,,L,no live,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_3_5,1,3,5,high,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,2,1.5,,,,L,no live,,loose litter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
