location_ID,plot_ID,burn_severity,x.m,y.m,WD_0cm_1.sec,WD_0cm_2.sec,WD_0cm_3.sec,WD_1cm_1.sec,WD_1cm_2.sec,WD_1cm_3.sec,WD_2cm_1.sec,WD_2cm_2.sec,WD_2cm_3.sec,WD_3cm_1.sec,WD_3cm_2.sec,WD_3cm_3.sec,WD_4cm.hydrophobic,WD_5cm.hydrophobic,litter_depth.cm,theta_i.percent,LF1,LF2,LF3,ground_cover,overstory1,overstory2,notes
1_3_9,1,high,3,9,3,3,7,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0.3,1.8,G,,,R,no live,,NA
1_3_10,1,high,3,10,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,3.5,F,,,B,no live,,NA
1_4_0,1,high,4,0,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,1.3,WD,,,B,no live,,NA
1_4_1,1,high,4,1,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,2.5,F,,,B,no live,,NA
1_4_2,1,high,4,2,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,,,,B,no live,,too rocky for soil moisture
1_4_3,1,high,4,3,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,F,,,B,no live,,too rocky for soil moisture
1_4_4,1,high,4,4,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.9,F,,,WD,no live,,NA
1_4_5,1,high,4,5,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.1,,,,B,no live,,NA
1_4_6,1,high,4,6,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.7,F,,,B,no live,,NA
1_4_7,1,high,4,7,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.2,,,,B,no live,,NA
1_4_8,1,high,4,8,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,F,,,B,no live,,too rocky for soil moisture
1_4_9,1,high,4,9,3,3,3,59,57,3,3,3,3,3,3,3,FALSE,FALSE,0.2,0.3,F,,,L,no live,,NA
1_4_10,1,high,4,10,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,1.1,1.9,F,,,L,no live,,NA
1_5_0,1,high,5,0,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.4,WD,,,B,no live,,NA
1_5_1,1,high,5,1,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,F,,,B,no live,,too rocky for soil moisture
1_5_2,1,high,5,2,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.8,,,,R,no live,,NA
1_5_3,1,high,5,3,3,3,3,3,3,3,3,3,3,59,60,60,FALSE,FALSE,0,0.6,F,,,B,no live,,NA
1_5_4,1,high,5,4,3,3,3,37,110,133,3,3,3,3,3,3,FALSE,FALSE,0,1,F,,,B,no live,,NA
1_5_5,1,high,5,5,3,3,3,3,3,3,3,3,3,5,5,5,FALSE,FALSE,0,2.4,L,,,B,no live,,NA
1_5_6,1,high,5,6,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,1,,,,B,no live,,NA
1_5_7,1,high,5,7,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.2,F,,,B,no live,,NA
1_5_8,1,high,5,8,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0.3,3.3,F,,,L,no live,,NA
1_5_9,1,high,5,9,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,1.1,F,,,B,no live,,NA
1_5_10,1,high,5,10,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.5,F,,,B,no live,,NA
1_6_0,1,high,6,0,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.5,,,,B,no live,,NA
1_6_1,1,high,6,1,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0.1,0.5,,,,L,no live,,NA
1_6_2,1,high,6,2,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0.1,1.4,F,,,L,no live,,NA
1_6_3,1,high,6,3,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,WD,F,,B,no live,,too rocky for soil moisture
1_6_4,1,high,6,4,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0.4,0.8,F,,,B,no live,,NA
1_6_5,1,high,6,5,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,3.4,F,,,B,no live,,NA
1_6_6,1,high,6,6,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,1.3,F,,,B,no live,,NA
1_6_7,1,high,6,7,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,1.8,G,,,B,no live,,NA
1_6_8,1,high,6,8,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,1.1,NA,F,,,L,no live,,too rocky for soil moisture
1_6_9,1,high,6,9,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,,,,B,no live,,too rocky for soil moisture
1_6_10,1,high,6,10,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.5,F,,,B,no live,,NA
1_7_0,1,high,7,0,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,,,,R,no live,,too rocky for soil moisture
1_7_1,1,high,7,1,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,,,,R,no live,,too rocky for soil moisture
1_7_2,1,high,7,2,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,,,,B,no live,,too rocky for soil moisture
1_7_3,1,high,7,3,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.5,F,,,WD,no live,,NA
1_7_4,1,high,7,4,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,SD,,,SD,no live,,dead tree unable to sample soil moisture
1_7_5,1,high,7,5,3,3,3,3,3,3,3,3,3,5,10,10,FALSE,FALSE,0,1,F,,,B,no live,,NA
1_7_6,1,high,7,6,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,,,,R,no live,,too rocky for soil moisture
1_7_7,1,high,7,7,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.5,L,,,B,no live,,NA
1_7_8,1,high,7,8,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,WD,,,B,no live,,too rocky for soil moisture
1_7_9,1,high,7,9,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0.1,0.4,F,,,L,no live,,NA
1_7_10,1,high,7,10,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,1,G,,,B,no live,,NA
1_8_0,1,high,8,0,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.5,WD,,,B,no live,,NA
1_8_1,1,high,8,1,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,F,,,R,no live,,too rocky for soil moisture
1_8_2,1,high,8,2,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,1,F,,,B,no live,,NA
1_8_3,1,high,8,3,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.2,,,,B,no live,,NA
1_8_4,1,high,8,4,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,1,F,,,B,no live,,NA
1_8_5,1,high,8,5,3,3,3,15,35,3,3,3,3,3,3,3,FALSE,FALSE,0,0.5,F,,,B,no live,,NA
1_8_6,1,high,8,6,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0.8,0.7,,,,L,no live,,NA
1_8_7,1,high,8,7,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,NA,L,,,B,no live,,too rocky for soil moisture
1_8_8,1,high,8,8,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.2,F,,,B,no live,,NA
1_8_9,1,high,8,9,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0.5,NA,F,,,L,no live,,too rocky for soil moisture
1_8_10,1,high,8,10,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.8,F,,,B,no live,,NA
1_9_0,1,high,9,0,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,2.8,,,,B,no live,,NA
1_9_1,1,high,9,1,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,0.6,,,,B,no live,,NA
1_9_2,1,high,9,2,3,3,3,3,3,3,3,3,3,3,3,3,FALSE,FALSE,0,1.1,,,,B,no live,,NA
