code,name
PIPO,Pinus ponderosa
PSME,Pseudotsuga menziesii
QUGA,Quercus gambelii
F,forb
G,graminoid
L,litter
B,bare soil
R,rock
WD,woody dead
SD,standing dead
T,tree
D,dung
M,cryptogam
